-1 15000 -52
-1 15000 -77
-1 15000 -15
-1 15000 -59
-1 15000 -58
-1 12000 40
-1 12000 -164
-1 12000 -63
-1 12000 -200
-1 12000 -166
-1 12000 -130
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -140
-1 12000 -200
-1 12000 -162
-1 12000 -200
-1 12000 -156
-1 12000 -185
-1 12000 -200
-1 12000 -171
-1 12000 -172
-1 12000 -200
-1 12000 -200
-1 12000 -163
-1 12000 -177
-1 12000 -200
-1 12000 -147
-1 12000 -192
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -183
-1 12000 -200
-1 12000 -125
-1 12000 -129
-1 12000 -200
-1 12000 -185
-1 12000 -200
-1 12000 -200
-1 12000 -148
-1 12000 -200
-1 12000 -177
-1 12000 -200
-1 12000 -200
-1 12000 -200
-1 12000 -181
-1 12000 -168
-1 12000 -200
-1 12000 -192
-1 12000 -193
-1 12000 -164
-1 12000 -200
-1 12000 -200
-1 12000 -180
-1 12000 -34
