//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	15 15 15 			180 180 180 			255 255 255 			10 15 20 			20 30 40 			255 128 0 			5 0 0 			0.9		0.9		0.3			200 100 0			400.0		100.0		0.9			30 20 0			3 3 3			85 85 65 240			255 87 87 87			255 60 121 122			0	90	0	1.00		
// 5 AM
	17 17 17 			180 180 180 			255 255 255 			0 20 20 			0 31 32 			255 128 0 			255 128 0 			-0.1		0.9		0.1			150 100 0			400.0		100.0		0.9			35 9 10			27 30 36			53 104 104 240			255 80 80 80			255 60 190 190			0	90	0	1.00		
// 6 AM
	40 35 30 			180 170 150 			255 255 255 			57 151 201 			200 144 85 			255 128 0 			255 128 0 			8.3		0.9		0.3			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			255 86 86 86			255 149 94 0			25	120	0	1.00		
// 7 AM
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 			255 255 255 			255 255 255 			2.1		0.9		0.3			100 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			255 133 106 70			255 96 61 15			25	180	0	1.01		
// Midday
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 			255 255 255 			255 255 255 			1.1		0.9		-0.1			236 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			255 66 66 48			255 166 129 60			25	180	0	1.00		
// 7 PM
	40 35 30 			180 170 160 			255 255 255 			50 120 220 			150 220 250 			222 88 0 			122 55 0 			3.9		0.9		-0.1			110 40 75			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			255 124 124 107			255 86 50 10			25	180	0	1.00		
// 8 PM
	25 15 10 			180 170 160 			255 255 255 			33 113 155 			163 122 88 			255 128 0 			255 128 0 			1.9		0.9		0.3			100 60 0			800.0		10.0		0.9			120 40 40			72 107 159			67 67 67 240			255 81 85 40			255 66 27 0			25	140	0	1.00		
// 10 PM
	21 20 20 			210 194 182 			255 255 255 			10 15 20 			20 30 40 			255 128 0 			5 8 0 			0.9		0.9		0.3			160 100 0			600.0		10.0		0.9			70 27 10			15 11 34			67 67 62 240			255 209 143 84			255 76 51 0			25	90	0	1.00		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	15 15 15 			180 180 180 			255 255 255 			10 15 20 			20 30 40 			255 128 0 			5 0 0 			0.9		0.3		0.3			200 100 0			800.0		100.0		0.9			0 0 0			3 3 3			85 85 65 240			255 110 126 210			255 0 81 104			55	220	0	1.00		
// 5 AM
	17 17 17 			180 180 180 			255 255 255 			0 20 20 			0 31 32 		255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		100.0		0.9			0 0 0			14 15 18			25 51 52 240			255 102 132 227			255 4 85 95			90	220	0	1.00		
// 6 AM
	40 35 30 			180 170 150 			255 255 255 			57 151 201 			200 144 85 			255 128 0 			255 128 0 			1.1		0.5		0.1			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			255 86 86 86			255 149 94 0			177	220	0	1.00		
// 7 AM
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 	255 128 0 			255 128 0 			2.1		0.9		-0.1			211 0 149			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			255 58 110 115			255 123 70 14			177	220	0	1.00		
// Midday
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 		189 175 0 			168 98 14 			1.6		0.9		-0.1			236 0 190			800.0		100.0		-0.1			44 34 23			129 128 123			90 170 170 240			255 70 121 120			255 160 88 21			88	220	0	1.00		
// 7 PM
	40 35 30 			180 170 160 			255 255 255 			50 120 220 			150 220 250 		198 128 0 			255 128 0 			7.5		0.9		-0.1			110 40 75			800.0		100.0		0.8			120 40 40			155 155 155			50 97 97 240			255 90 123 113			255 114 61 10			88	220	0	1.00		
// 8 PM
	25 15 10 			180 170 160 			255 255 255 			33 113 155 			163 122 88 			255 128 0 			255 128 0 			1.9		0.9		0.1			100 60 0			800.0		43.0		0.9			0 0 0			163 83 63			67 67 67 240			255 129 93 71			255 66 27 0			177	220	0	1.00		
// 10 PM
	21 20 20 			210 194 182 			255 255 255 			10 15 20 			20 30 40 			255 128 0 			5 8 0 			0.9		0.3		0.3			160 100 0			800.0		41.0		0.9			70 27 10			55 55 55			67 67 62 240			255 129 0 0			255 66 106 0			111	60	0	1.00		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	15 15 15 			180 180 180 			255 255 255 			10 15 20 			20 30 40 		255 128 0 			5 0 0 			0.9		0.3		0.8			200 102 0			800.0		100.0		0.9			30 20 0			3 3 3			85 85 65 240			255 50 61 114			255 14 46 55			25	80	0	1.00		
// 5 AM
	17 17 17 			180 180 180 			255 255 255 			0 20 20 			0 31 32 			255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		50.0		0.9			35 9 10			27 30 36			53 104 104 240			255 93 90 114			255 34 40 30			25	80	0	1.00		
// 6 AM
	40 35 30 			180 170 150 			255 255 255 			57 151 201 			200 144 85 			255 128 0 			255 128 0 			8.3		0.1		0.3			140 93 0			800.0		50.0		0.8			100 34 25			120 92 88			90 170 170 240			255 86 86 86			255 149 94 0			25	120	0	1.00		
// 7 AM
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 		255 128 0 			255 128 0 			1.1		0.1		0.8			100 50 75			800.0		10.0		0.5			120 40 40			159 142 106			145 170 170 240			255 106 107 84			255 96 61 15			25	120	0	1.00		
// Midday
	50 50 50 			180 180 180 			255 255 255 			50 120 220 			150 220 250 		255 128 0 			255 128 0 			0.9		0.1		0.3			236 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			255 82 80 43			255 125 94 40			25	50	0	1.00		
// 7 PM
