16 16000 0
16 12000 0
16 20000 0
16 20200 0
-1 15000 0
-1 18000 0
-1 18000 0
-1 18000 0
-1 18000 0
-1 18000 0
-1 18000 0
-1 18000 44
-1 12000 0
-1 12000 0
-1 15000 88
-1 20000 -175
-1 20000 -200
-1 18000 -200
-1 20000 -200
-1 18000 0
-1 22100 0
-1 22100 -6
-1 21000 0
-1 22100 0
-1 22100 0
-1 22100 0
-1 22100 0
-1 22100 0
-1 22100 0
-1 19000 -200
-1 6000 -12
-1 6000 0
-1 11000 0
-1 12000 0
-1 18000 1609
-1 18000 0
-1 15000 0
-1 18000 0
-1 15000 0
-1 12000 -16
-1 18000 -26
-1 18000 393
-1 18000 417
-1 18000 421
-1 18000 475
-1 18000 49
-1 15000 0
-1 18000 105
-1 18000 -64
-1 18000 87
-1 16800 44
-1 5012 0
-1 15000 -31
-1 12000 0
-1 18000 0
-1 15000 0
-1 15000 -200
-1 14000 -200
-1 16700 -51
-1 12000 0
-1 13600 0
-1 23000 179
-1 15000 0
-1 15000 0
-1 18000 0
-1 13000 0
-1 22050 -10
-1 22050 -200
-1 12000 0
-1 15000 0
-1 15000 0
-1 15000 0
